# AUV Synthetic GPS  — timestamp,x_m,y_m,valid
timestamp,x_m,y_m,valid
0.00000,-1.64378,2.24147,1
1.00000,-2.34512,1.11783,1
2.00000,1.90665,-1.40440,1
3.01000,3.45430,-1.03524,1
4.01000,2.66703,3.63602,1
5.01000,2.59750,5.53595,1
6.01000,5.72019,4.06251,1
7.01000,7.35150,8.61134,1
8.01000,8.06015,8.13494,1
9.01000,14.50341,8.38267,1
10.01000,16.17537,7.51814,1
11.01000,19.64862,11.99670,1
12.01000,24.52788,14.38976,1
13.01000,24.63106,15.18422,1
14.01000,27.31934,20.63122,1
15.01000,31.55618,25.26034,1
16.01000,35.70643,25.98820,1
17.01000,41.58316,29.03640,1
18.00000,47.57287,30.24230,1
19.00000,52.72732,34.13318,1
20.00000,58.84040,40.30173,1
21.00000,57.58207,43.20214,1
22.00000,65.26337,46.91929,1
23.00000,67.95489,51.21169,1
24.00000,77.21896,56.65968,1
25.00000,79.48469,58.84126,1
26.00000,82.26907,64.56601,1
27.00000,85.33297,68.40310,1
28.00000,89.46560,76.83806,1
29.00000,94.91585,80.92756,1
30.00000,94.80737,88.24144,1
31.00000,99.27730,95.28399,1
32.00000,104.77202,102.23900,1
33.00000,104.20799,107.77949,1
34.00000,108.15164,114.07534,1
35.00000,108.32763,121.85606,1
36.00000,108.19401,126.69789,1
37.00000,111.10618,135.93490,1
38.00000,112.88942,143.90804,1
39.00000,113.13770,153.92906,1
40.00000,115.48216,159.87442,1
41.00000,112.95869,167.56387,1
42.00000,114.86107,176.45893,1
43.00000,112.35566,178.79534,1
44.01000,115.91494,186.93605,1
45.01000,115.57254,195.97575,1
46.01000,120.84713,201.80644,1
47.01000,116.76098,207.42889,1
48.01000,121.57586,215.70989,1
49.01000,117.38889,219.54273,1
50.01000,120.40368,228.66092,1
51.01000,120.73090,233.33306,1
52.01000,121.59561,242.66931,1
53.01000,123.39899,244.41454,1
54.01000,126.15026,252.60354,1
55.01000,123.09306,263.01525,1
56.01000,126.53738,264.99929,1
57.01000,128.33599,273.40236,1
58.01000,126.94179,281.63923,1
59.01000,129.19777,290.42062,1
60.01000,128.88574,295.91990,1
61.01000,130.00241,303.38438,1
62.01000,133.79327,308.05252,1
63.01000,132.99872,313.37991,1
64.01000,132.03680,321.88273,1
65.01000,132.64574,327.14939,1
66.01000,135.64907,335.53190,1
67.01000,136.74134,341.03212,1
68.01000,136.80311,345.44822,1
69.01000,136.05726,353.87802,1
70.01000,137.76772,361.19264,1
71.01000,137.91189,364.81669,1
72.01000,141.62652,373.67110,1
73.00000,142.22333,379.31981,1
74.00000,143.01157,381.32691,1
75.00000,147.09366,388.68544,1
76.00000,146.82456,396.12834,1
77.00000,148.08117,397.59612,1
78.00000,149.65505,402.54159,1
79.00000,153.18155,409.53034,1
