timestamp,px_m,py_m,pz_m,vx_ms,vy_ms,vz_ms,roll_deg,pitch_deg,yaw_deg,speed_horiz_ms,speed_total_ms,distance_total_m,depth_m,std_pos_m,std_vel_ms,std_att_deg,upd_imu,upd_dvl,upd_depth,upd_gps,upd_mag
0.010000,-1.314983,1.793205,0.089361,0.023157,-0.006892,-0.013887,179.737324,-2.517287,17.769690,0.024161,0.027868,2.225477,0.089361,0.365194,0.019901,3.342857,1,1,1,1,1
0.020000,-1.314790,1.793340,0.089510,0.022425,-0.006387,-0.013634,179.733559,-2.512233,17.770783,0.023317,0.027010,2.225756,0.089510,0.365194,0.020709,3.342855,1,0,0,0,0
0.030000,-1.314602,1.793468,0.089655,0.021097,-0.006119,-0.013584,179.734641,-2.506729,17.775039,0.021966,0.025827,2.226026,0.089655,0.365194,0.022931,3.342853,1,0,0,0,0
0.040000,-1.314426,1.793589,0.089800,0.019823,-0.005563,-0.013199,179.734902,-2.501870,17.773806,0.020589,0.024456,2.226284,0.089800,0.365195,0.026221,3.342852,1,0,0,0,0
0.050000,-1.314260,1.793701,0.089940,0.017992,-0.004750,-0.012187,179.736812,-2.496759,17.773809,0.018609,0.022245,2.226529,0.089940,0.365195,0.030258,3.342851,1,0,0,0,0
0.060000,-1.314108,1.793800,0.090070,0.016636,-0.005093,-0.012503,179.738425,-2.492397,17.773314,0.017399,0.021425,2.226751,0.090070,0.365196,0.034706,3.342850,1,0,0,0,0
0.070000,-1.313971,1.793899,0.090202,0.015660,-0.005475,-0.013516,179.739154,-2.486903,17.769754,0.016590,0.021398,2.226966,0.090202,0.365197,0.039426,3.342849,1,0,0,0,0
0.080000,-1.313844,1.793997,0.090343,0.013498,-0.005679,-0.014133,179.738352,-2.480994,17.769923,0.014644,0.020352,2.227180,0.090343,0.365199,0.044373,3.342846,1,0,0,0,0
0.090000,-1.313739,1.794091,0.090490,0.012302,-0.005442,-0.013482,179.737855,-2.474588,17.769344,0.013452,0.019045,2.227383,0.090490,0.365201,0.049531,3.342843,1,0,0,0,0
0.100000,-1.313645,1.794179,0.090630,0.011044,-0.006102,-0.012313,179.738721,-2.469292,17.771279,0.012618,0.017630,2.227574,0.090630,0.365204,0.054823,3.342842,1,0,0,0,0
0.110000,-1.313192,1.794181,0.089818,0.016169,-0.003216,-0.001906,179.629193,-2.097178,17.772259,0.016486,0.016596,2.228503,0.089818,0.365197,0.017722,1.337727,1,1,0,0,0
0.120000,-1.313049,1.794261,0.089842,0.015240,-0.002734,-0.001597,179.630502,-2.091460,17.771838,0.015483,0.015565,2.228669,0.089842,0.365197,0.019090,1.337737,1,0,0,0,0
0.130000,-1.312913,1.794333,0.089864,0.014810,-0.002445,-0.001496,179.627973,-2.088036,17.772398,0.015011,0.015085,2.228825,0.089864,0.365198,0.020585,1.337748,1,0,0,0,0
0.140000,-1.312780,1.794402,0.089884,0.013253,-0.002274,-0.001745,179.627625,-2.084369,17.770018,0.013446,0.013559,2.228976,0.089884,0.365199,0.022178,1.337758,1,0,0,0,0
0.150000,-1.312661,1.794464,0.089906,0.011756,-0.001157,-0.001751,179.628715,-2.078071,17.767958,0.011812,0.011941,2.229111,0.089906,0.365200,0.023858,1.337768,1,0,0,0,0
0.160000,-1.312554,1.794510,0.089928,0.011595,-0.001378,-0.001386,179.626903,-2.074961,17.766298,0.011677,0.011759,2.229231,0.089928,0.365201,0.025611,1.337779,1,0,0,0,0
